Table Poss,Season,Points,Team,Total Shots,Shots OutOfBox,Shots SixYardBox,Shots PenaltyArea,Shots Open Play,Shots Counters,Shots Set Pieces,Shots Against,Total Goals,Goals OutOfBox,Goals PenaltyArea,Goals SixYardBox,Goals Penalty,Own Goals,Total Goals Less PK,Goals Open Play,Goals Counters,Goals Set Pieces,Goals Allowed,Key Passes,Assists,Unsuccessful Dribbles,Successful Dribbles,TotalTackles,DribbledPast,Interceprions,Expenditure,Income,Net Spend
2,2014/2015,79,Manchester City,670,228,32,410,497,29,136,388,84,13,54,15,4,1,80,53,10,12,38,533,61,191,434,751,482,571,79470000.00,26660000.00,-52810000.00
1,2014/2015,87,Chelsea,564,230,42,292,428,10,121,414,73,19,46,7,6,2,67,52,1,15,32,468,58,341,489,759,387,370,123930000.00,126990000.00,3060000.00
4,2014/2015,70,Manchester United,513,203,37,273,380,7,121,384,61,14,39,7,3,2,58,43,2,12,37,394,41,311,374,739,302,680,168890000.00,40310000.00,-128580000.00
7,2014/2015,60,Southampton,510,192,31,287,378,3,126,384,49,7,38,4,2,5,47,41,0,6,33,387,31,210,265,812,336,628,85990000.00,111450000.00,25460000.00
6,2014/2015,62,Liverpool,590,285,25,280,447,14,123,414,51,7,33,8,3,1,48,35,2,6,48,443,30,352,438,798,324,440,134490000.00,89340000.00,-45150000.00
5,2014/2015,64,Tottenham,527,272,28,227,377,13,132,490,58,12,33,11,2,3,56,36,2,15,53,408,39,314,413,813,315,678,43620000.00,37490000.00,-6130000.00
9,2014/2015,54,Stoke,502,240,43,219,349,16,134,456,47,12,28,7,3,2,44,37,1,6,45,360,29,302,357,734,366,501,1620000.00,3420000.00,1800000.00
8,2014/2015,56,Swansea,426,203,20,203,317,4,103,555,44,5,30,8,5,4,39,36,1,4,49,319,33,355,351,635,372,692,35680000.00,54580000.00,18900000.00
12,2014/2015,47,West Ham,489,176,47,266,316,15,156,589,45,11,23,9,1,0,44,29,1,12,47,369,34,306,260,646,330,507,31640000.00,3960000.00,-27680000.00
14,2014/2015,41,Leicester,457,167,30,260,304,19,130,559,51,12,25,8,1,1,50,27,3,12,55,330,28,342,349,791,362,743,20570000.00,0.00,-20570000.00
10,2014/2015,48,Crystal Palace,442,166,44,232,283,8,145,524,46,14,26,6,3,1,43,22,0,19,51,321,27,495,357,792,340,600,28150000.00,2580000.00,-25570000.00
11,2014/2015,47,Everton,483,238,21,224,342,18,116,502,48,9,29,8,4,2,44,26,5,11,50,354,31,331,392,661,341,444,36140000.00,1710000.00,-34430000.00
19,2014/2015,33,Burnley,430,177,32,221,305,6,116,593,29,7,16,4,3,3,26,19,0,7,53,320,20,261,243,612,403,566,11360000.00,0.00,-11360000.00
13,2014/2015,44,West Bromwich Albion,411,190,35,186,282,6,118,623,37,12,22,3,5,1,32,13,1,19,51,309,30,142,241,695,352,588,22390000.00,2070000.00,-20320000.00
20,2014/2015,30,Queens Park Rangers,535,271,37,227,358,9,163,547,42,10,21,8,1,1,41,23,1,12,73,386,28,262,307,781,387,561,36780000.00,23440000.00,-13340000.00
18,2014/2015,35,Hull,429,188,20,221,304,6,118,627,32,4,25,3,1,1,31,22,2,7,51,312,23,193,255,763,378,606,43410000.00,16830000.00,-26580000.00
16,2014/2015,38,Sunderland,408,194,29,185,269,14,121,502,35,8,16,6,1,0,34,15,2,9,53,304,19,308,341,759,436,579,19000000.00,6530000.00,-12470000.00
15,2014/2015,39,Newcastle United,468,200,39,229,308,15,144,445,41,8,26,6,4,1,37,31,1,7,63,339,30,422,444,825,321,643,38720000.00,20120000.00,-18600000.00
17,2014/2015,38,Aston Villa,417,168,24,225,284,13,119,479,32,4,24,3,4,1,28,18,2,10,57,306,23,190,287,623,286,484,12110000.00,1180000.00,-10930000.00
2,2015/2016,71,Arsenal,572,158,53,361,430,11,129,448,66,16,42,4,5,0,61,45,3,13,36,469,53,274,493,706,364,736,23850000.00,2250000.00,-21600000.00
1,2015/2016,81,Leicester,522,187,46,289,349,13,147,517,68,10,54,3,1,3,67,41,5,11,36,390,45,365,430,869,433,820,44910000.00,8280000.00,-36630000.00
3,2015/2016,70,Tottenham,658,300,34,324,492,11,150,422,71,12,46,10,5,1,66,44,2,17,35,501,50,278,362,803,317,645,63900000.00,64420000.00,520000.00
4,2015/2016,66,Manchester City,615,232,43,340,434,6,167,338,72,13,44,14,2,1,70,47,5,14,41,479,53,268,456,729,477,630,187470000.00,54450000.00,-133020000.00
